date,pageview,month-day,year,month_name,month_num,day,z_score
2025-02-10,330853,02-10,2025,February,2,10,0.2759918778438487
2023-02-11,279983,02-11,2023,February,2,11,-0.7809904384470127
2024-02-11,559272,02-11,2024,February,2,11,0.19403541951168204
2025-02-11,329979,02-11,2025,February,2,11,0.2713397000770697
2023-02-12,335303,02-12,2023,February,2,12,-0.5709122589475293
2024-02-12,612554,02-12,2024,February,2,12,0.3443859708928541
2025-02-12,316130,02-12,2025,February,2,12,0.19762344161926393
2023-02-13,422908,02-13,2023,February,2,13,-0.23823151210999788
2024-02-13,616028,02-13,2024,February,2,13,0.3541888652192343
2025-02-13,349515,02-13,2025,February,2,13,0.3753270511660793
2023-02-14,398346,02-14,2023,February,2,14,-0.33150592000707507
2024-02-14,551174,02-14,2024,February,2,14,0.17118457372727583
2025-02-14,331872,02-14,2025,February,2,14,0.281415869999853
2023-02-15,413469,02-15,2023,February,2,15,-0.2740761964248139
2024-02-15,620946,02-15,2024,February,2,15,0.36806642258743755
2025-02-15,273234,02-15,2025,February,2,15,-0.030705869002877452
2023-02-16,422648,02-16,2023,February,2,16,-0.23921886436361078
2024-02-16,554968,02-16,2024,February,2,16,0.18189044047289663
2025-02-16,296864,02-16,2025,February,2,16,0.09507326215157054
2023-02-17,366554,02-17,2023,February,2,17,-0.4522363155719264
2024-02-17,484294,02-17,2024,February,2,17,-0.017536661893999418
2025-02-17,305337,02-17,2025,February,2,17,0.14017383677161446
2023-02-18,287343,02-18,2023,February,2,18,-0.7530407746524321
2024-02-18,539164,02-18,2024,February,2,18,0.1372948901176539
2025-02-18,300256,02-18,2025,February,2,18,0.11312839600158694
2023-02-19,333515,02-19,2023,February,2,19,-0.5777022044454518
2024-02-19,684266,02-19,2024,February,2,19,0.5467420900446617
2025-02-19,336904,02-19,2025,February,2,19,0.30820049073490097
2023-02-20,408949,02-20,2023,February,2,20,-0.29124093560300746
2024-02-20,667064,02-20,2024,February,2,20,0.49820167893286177
2025-02-20,353680,02-20,2025,February,2,20,0.39749675413934527
2023-02-21,433084,02-21,2023,February,2,21,-0.19958806390705605
2024-02-21,672472,02-21,2024,February,2,21,0.5134619128180271
2025-02-21,310448,02-21,2025,February,2,21,0.16737896327734378
2023-02-22,486176,02-22,2023,February,2,22,0.002029266280698301
2024-02-22,638318,02-22,2024,February,2,22,0.417086537796959
2025-02-22,271566,02-22,2025,February,2,22,-0.039584395907897314
2023-02-23,442036,02-23,2023,February,2,23,-0.1655927663134303
2024-02-23,523982,02-23,2024,February,2,23,0.09445449240230998
2025-02-23,276647,02-23,2025,February,2,23,-0.012538955137869793
2023-02-24,369223,02-24,2023,February,2,24,-0.4421007649377232
2024-02-24,434950,02-24,2024,February,2,24,-0.15677500894089244
2025-02-24,298532,02-24,2025,February,2,24,0.1039517890565904
2023-02-25,309446,02-25,2023,February,2,25,-0.6691044405693323
2024-02-25,659410,02-25,2024,February,2,25,0.47660370738015184
2025-02-25,307045,02-25,2025,February,2,25,0.1492652779909034
2023-02-26,353218,02-26,2023,February,2,26,-0.5028798911649327
2024-02-26,729384,02-26,2024,February,2,26,0.6740555575799592
2025-02-26,315786,02-26,2025,February,2,26,0.19579237851655001
2023-02-27,473759,02-27,2023,February,2,27,-0.045124398846653195
2024-02-27,840424,02-27,2024,February,2,27,0.9873869870564305
2025-02-27,321074,02-27,2025,February,2,27,0.22393965086291992
2023-02-28,471824,02-28,2023,February,2,28,-0.05247257811873382
2024-02-28,733952,02-28,2024,February,2,28,0.686945488864618
2025-02-28,323246,02-28,2025,February,2,28,0.23550089812772995
2024-02-29,682740,02-29,2024,February,2,29,0.5424360403204083
2023-03-01,473686,03-01,2023,March,3,1,-0.04540161697939836
2024-03-01,585596,03-01,2024,March,3,1,0.2683161881494579
2025-03-01,382466,03-01,2025,March,3,1,0.5507205404030753
2023-03-02,499540,03-02,2023,March,3,2,0.0527791721164014
2024-03-02,476522,03-02,2024,March,3,2,-0.03946760452630431
2025-03-02,355842,03-02,2025,March,3,2,0.40900477282558806
2023-03-03,407641,03-03,2023,March,3,3,-0.29620807694041384
2024-03-03,555878,03-03,2024,March,3,3,0.18445826829011194
2025-03-03,424889,03-03,2025,March,3,3,0.776532139258985
2023-03-04,299996,03-04,2023,March,3,4,-0.7049908974794935
2024-03-04,729146,03-04,2024,March,3,4,0.673383971843149
2025-03-04,427013,03-04,2025,March,3,4,0.7878378893466722
2023-03-05,367790,03-05,2023,March,3,5,-0.4475425948585974
2024-03-05,803558,03-05,2024,March,3,5,0.8833589207822987
2025-03-05,466801,03-05,2025,March,3,5,0.9996237577501075
2023-03-06,459923,03-06,2023,March,3,6,-0.09766672877353048
2024-03-06,909180,03-06,2024,March,3,6,1.1814018984855035
2025-03-06,400611,03-06,2025,March,3,6,0.6473037962133782
2023-03-07,436573,03-07,2023,March,3,7,-0.18633855616530445
2024-03-07,699470,03-07,2024,March,3,7,0.5896445671138284
2025-03-07,360508,03-07,2025,March,3,7,0.43384122758507404
2023-03-08,439258,03-08,2023,March,3,8,-0.17614224539241738
2024-03-08,583106,03-08,2024,March,3,8,0.2612899340122424
2025-03-08,277956,03-08,2025,March,3,8,-0.0055713342034147606
2023-03-09,459535,03-09,2023,March,3,9,-0.09914016213661435
2024-03-09,462978,03-09,2024,March,3,9,-0.07768591217066065
2025-03-09,296739,03-09,2025,March,3,9,0.09440790491947972
2023-03-10,397493,03-10,2023,March,3,10,-0.33474519490065896
2024-03-10,531994,03-10,2024,March,3,10,0.11706266434904528
2025-03-10,324552,03-10,2025,March,3,10,0.2424525504886148
2023-03-11,320481,03-11,2023,March,3,11,-0.6271989324208002
2024-03-11,612196,03-11,2024,March,3,11,0.3433757704988287
2025-03-11,318471,03-11,2025,March,3,11,0.21008425186186075
2023-03-12,388922,03-12,2023,March,3,12,-0.367293641691875
2024-03-12,713684,03-12,2024,March,3,12,0.6297534732609696
2025-03-12,298813,03-12,2025,March,3,12,0.10544751211433055
2023-03-13,464508,03-13,2023,March,3,13,-0.08025515153193376
2024-03-13,757110,03-13,2024,March,3,13,0.7522924741295327
2025-03-13,283520,03-13,2025,March,3,13,0.024045046911411672
